,element,csd
0,Ru,57521
1,Yb,7668
2,V,33218
4,Rb,3977
5,I,99004
6,Rh,25795
8,Ba,7096
10,Bi,9835
11,Bk,7
13,Pu,339
14,Br,138716
15,Cs,6021
16,D,16319
17,H,37628455
19,P,419565
22,Os,16778
23,Cm,7
24,Re,21797
25,Ge,17520
26,Gd,13649
28,Ga,15310
30,Pr,7019
32,Pt,33720
34,Mg,11860
35,Cf,6
36,Pb,18370
37,Pa,17
38,Pd,42980
39,Xe,99
40,Ca,9090
43,Am,49
44,Sn,33492
47,Ho,4453
48,Hf,3005
49,Hg,14070
50,He,1
51,C,32727832
52,Kr,13
53,Be,1212
55,K,30944
56,Mn,72660
57,O,6317688
59,S,607895
60,W,90557
61,Cr,21082
63,Zn,121884
65,Eu,14865
67,B,223990
69,Zr,19041
70,Er,7811
71,Ni,80789
74,Fe,112183
76,Na,34913
77,Nb,6521
79,Nd,10886
80,Ne,20
85,Np,618
103,Sr,4919
105,Lu,2555
109,Si,165644
111,Sm,10109
114,Sb,17619
116,Se,51398
119,Co,103459
121,Cl,661189
124,Ce,7456
125,Cd,68027
127,Tm,1666
132,Cu,215833
136,Ir,17755
138,La,11031
140,Ti,21265
142,Li,29180
144,Tl,3217
147,Th,1866
150,Tb,11835
151,Tc,1238
153,Ta,4039
158,F,1124235
160,As,17550
165,Pm,3
171,In,12072
176,U,17239
177,Dy,13022
179,Y,8519
181,N,3624650
183,Sc,3159
185,Ac,2
187,Ag,82801
191,Te,13673
192,Al,24592
195,Ar,34
196,Au,31217
199,Mo,90509
