index,csd,drug,element,mof,block,group,period
1,37628455,237931,H,2913835,s,1,1
2,1,0,He,0,s,18,1
3,29180,35,Li,4983,s,1,2
4,1212,17,Be,96,s,2,2
5,223990,160,B,7298,p,13,2
6,32727832,179664,C,2996722,p,14,2
7,3624650,31521,N,634209,p,15,2
8,6317688,55422,O,1361865,p,16,2
9,1124235,2459,F,72297,p,17,2
10,20,0,Ne,20,p,18,2
11,34913,166,Na,13460,s,1,3
12,11860,64,Mg,4126,s,2,3
13,24592,0,Al,1946,p,13,3
14,165644,88,Si,2215,p,14,3
15,419565,622,P,18100,p,15,3
16,607895,3740,S,50827,p,16,3
17,661189,2644,Cl,35257,p,17,3
18,34,0,Ar,20,p,18,3
19,30944,78,K,10704,s,1,4
20,9090,56,Ca,4446,s,2,4
21,3159,0,Sc,941,d,3,4
22,21265,0,Ti,938,d,4,4
23,33218,0,V,5906,d,5,4
24,21082,0,Cr,2359,d,6,4
25,72660,0,Mn,29150,d,7,4
26,112183,0,Fe,14123,d,8,4
27,103459,0,Co,43094,d,9,4
28,80789,0,Ni,18585,d,10,4
29,215833,0,Cu,89147,d,11,4
30,121884,0,Zn,74624,d,12,4
31,15310,0,Ga,1244,p,13,4
32,17520,0,Ge,719,p,14,4
33,17550,20,As,885,p,15,4
34,51398,33,Se,1654,p,16,4
35,138716,431,Br,9794,p,17,4
36,13,0,Kr,5,p,18,4
37,3977,32,Rb,1975,s,1,5
38,4919,9,Sr,2943,s,2,5
39,8519,0,Y,2298,d,3,5
40,19041,0,Zr,5944,d,4,5
41,6521,0,Nb,312,d,5,5
42,90509,0,Mo,15593,d,6,5
43,1238,0,Tc,17,d,7,5
44,57521,0,Ru,1575,d,8,5
45,25795,0,Rh,1106,d,9,5
46,42980,0,Pd,724,d,10,5
47,82801,0,Ag,37635,d,11,5
48,68027,0,Cd,50375,d,12,5
49,12072,0,In,4756,p,13,5
50,33492,0,Sn,3369,p,14,5
51,17619,0,Sb,1253,p,15,5
52,13673,16,Te,386,p,16,5
53,99004,476,I,13421,p,17,5
54,99,2,Xe,6,p,18,5
55,6021,24,Cs,2465,s,1,6
56,7096,3,Ba,4088,s,2,6
57,11031,0,La,5773,f,3,6
58,7456,0,Ce,3365,f,3,6
59,7019,0,Pr,4536,f,3,6
60,10886,0,Nd,5930,f,3,6
61,3,0,Pm,0,f,3,6
62,10109,0,Sm,4847,f,3,6
63,14865,0,Eu,9216,f,3,6
64,13649,0,Gd,7109,f,3,6
65,11835,0,Tb,7163,f,3,6
66,13022,0,Dy,5494,f,3,6
67,4453,0,Ho,2208,f,3,6
68,7811,0,Er,4004,f,3,6
69,1666,0,Tm,789,f,3,6
70,7668,0,Yb,2528,f,3,6
71,2555,0,Lu,548,d,3,6
72,3005,0,Hf,769,d,4,6
73,4039,0,Ta,36,d,5,6
74,90557,0,W,15614,d,6,6
75,21797,0,Re,550,d,7,6
76,16778,0,Os,52,d,8,6
77,17755,0,Ir,148,d,9,6
78,33720,0,Pt,986,d,10,6
79,31217,0,Au,2005,d,11,6
80,14070,0,Hg,3446,d,12,6
81,3217,0,Tl,995,p,13,6
82,18370,0,Pb,8919,p,14,6
83,9835,0,Bi,1740,p,15,6
84,0,0,Po,0,p,16,6
85,0,0,At,0,p,17,6
86,0,0,Rn,0,p,18,6
87,0,0,Fr,0,s,1,7
88,0,0,Ra,0,s,2,7
89,2,0,Ac,0,f,3,7
90,1866,0,Th,459,f,3,7
91,17,0,Pa,0,f,3,7
92,17239,0,U,5774,f,3,7
93,618,0,Np,243,f,3,7
94,339,0,Pu,94,f,3,7
95,49,0,Am,16,f,3,7
96,7,0,Cm,0,f,3,7
97,7,0,Bk,0,f,3,7
98,6,0,Cf,0,f,3,7
99,0,0,Es,0,f,3,7
100,0,0,Fm,0,f,3,7
101,0,0,Md,0,f,3,7
102,0,0,No,0,f,3,7
103,0,0,Lr,0,d,3,7
104,0,0,Rf,0,d,4,7
105,0,0,Db,0,d,5,7
106,0,0,Sg,0,d,6,7
107,0,0,Bh,0,d,7,7
108,0,0,Hs,0,d,8,7
109,0,0,Mt,0,d,9,7
