,element,mof
0,Ru,1575
1,Re,550
2,Rf,0
3,Ra,0
4,Rb,1975
5,Rn,0
6,Rh,1106
7,Be,96
8,Ba,4088
9,Bh,0
10,Bi,1740
11,Bk,0
12,Br,9794
13,H,2913835
14,P,18100
15,Os,52
16,Es,0
17,Hg,3446
18,Ge,719
19,Gd,7109
20,Ga,1244
21,Pr,4536
22,Pt,986
23,Pu,94
24,C,2996722
25,Pb,8919
26,Pa,0
27,Pd,724
28,Cd,50375
29,Po,0
30,Pm,0
31,Hs,0
32,Ho,2208
33,Hf,769
34,K,10704
35,He,0
36,Md,0
37,Mg,4126
38,Mo,15593
39,Mn,29150
40,O,1361865
41,Mt,0
42,S,50827
43,W,15614
44,Zn,74624
45,Eu,9216
46,Zr,5944
47,Er,4004
48,Ni,18585
49,No,0
50,Na,13460
51,Nb,312
52,Nd,5930
53,Ne,20
54,Np,243
55,Fr,0
56,Fe,14123
57,Fm,0
58,B,7298
59,F,72297
60,Sr,2943
61,N,634209
62,Kr,5
63,Si,2215
64,Sn,3369
65,Sm,4847
66,V,5906
67,Sc,941
68,Sb,1253
69,Sg,0
70,Se,1654
71,Co,43094
72,Cm,0
73,Cl,35257
74,Ca,4446
75,Cf,0
76,Ce,3365
77,Xe,6
78,Lu,548
79,Cs,2465
80,Cr,2359
81,Cu,89147
82,La,5773
83,Li,4983
84,Tl,995
85,Tm,789
86,Lr,0
87,Th,459
88,Ti,938
89,Te,386
90,Tb,7163
91,Tc,17
92,Ta,36
93,Yb,2528
94,Db,0
95,Dy,5494
96,I,13421
97,U,5774
98,Y,2298
99,Ac,0
100,Ag,37635
101,Ir,148
102,Am,16
103,Al,1946
104,As,885
105,Ar,20
106,Au,2005
107,At,0
108,In,4756
