,element,csd,drug,mof
0,Ru,57521,0,1575
1,Yb,7668,0,2528
2,V,33218,0,5906
3,Rb,3977,32,1975
4,I,99004,476,13421
5,Rh,25795,0,1106
6,Ba,7096,3,4088
7,Bi,9835,0,1740
8,Bk,7,0,0
9,Pu,339,0,94
10,Br,138716,431,9794
11,Cs,6021,24,2465
12,H,37628455,237931,2913835
13,P,419565,622,18100
14,Os,16778,0,52
15,Cm,7,0,0
16,Re,21797,0,550
17,Ge,17520,0,719
18,Gd,13649,0,7109
19,Ga,15310,0,1244
20,Pr,7019,0,4536
21,Pt,33720,0,986
22,Mg,11860,64,4126
23,Cf,6,0,0
24,Pb,18370,0,8919
25,Pa,17,0,0
26,Pd,42980,0,724
27,Xe,99,2,6
28,Ca,9090,56,4446
29,Am,49,0,16
30,Sn,33492,0,3369
31,Ho,4453,0,2208
32,Hf,3005,0,769
33,Hg,14070,0,3446
34,He,1,0,0
35,C,32727832,179664,2996722
36,Kr,13,0,5
37,Be,1212,17,96
38,K,30944,78,10704
39,Mn,72660,0,29150
40,O,6317688,55422,1361865
41,S,607895,3740,50827
42,W,90557,0,15614
43,Cr,21082,0,2359
44,Zn,121884,0,74624
45,Eu,14865,0,9216
46,B,223990,160,7298
47,Zr,19041,0,5944
48,Er,7811,0,4004
49,Ni,80789,0,18585
50,Fe,112183,0,14123
51,Na,34913,166,13460
52,Nb,6521,0,312
53,Nd,10886,0,5930
54,Ne,20,0,20
55,Np,618,0,243
56,Sr,4919,9,2943
57,Lu,2555,0,548
58,Si,165644,88,2215
59,Sm,10109,0,4847
60,Sb,17619,0,1253
61,Se,51398,33,1654
62,Co,103459,0,43094
63,Cl,661189,2644,35257
64,Ce,7456,0,3365
65,Cd,68027,0,50375
66,Tm,1666,0,789
67,Cu,215833,0,89147
68,Ir,17755,0,148
69,La,11031,0,5773
70,Ti,21265,0,938
71,Li,29180,35,4983
72,Tl,3217,0,995
73,Th,1866,0,459
74,Tb,11835,0,7163
75,Tc,1238,0,17
76,Ta,4039,0,36
77,F,1124235,2459,72297
78,As,17550,20,885
79,Pm,3,0,0
80,In,12072,0,4756
81,U,17239,0,5774
82,Dy,13022,0,5494
83,Y,8519,0,2298
84,N,3624650,31521,634209
85,Sc,3159,0,941
86,Ac,2,0,0
87,Ag,82801,0,37635
88,Te,13673,16,386
89,Al,24592,0,1946
90,Ar,34,0,20
91,Au,31217,0,2005
92,Mo,90509,0,15593
